Family,Source,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF03525,Rfam,RF03525_bench.fasta,0.940476,0.020833,0.038690,0.912690,0.672164,0.988533,0.923193,0.903061,84
RF03528,Rfam,RF03528_bench.fasta,0.931507,0.011416,0.057078,0.960707,0.886038,0.971689,0.967593,0.897717,73
RF03530,Rfam,RF03530_bench.fasta,0.703671,0.185315,0.111014,0.417043,0.899441,0.875766,0.704225,0.559191,143
RF03531,Rfam,RF03531_bench.fasta,0.715615,0.233414,0.050971,0.175313,0.603145,0.874643,0.627451,0.615555,103
RF03532,Rfam,RF03532_bench.fasta,0.704729,0.107388,0.187883,0.474391,0.584395,0.944557,0.793068,0.622731,289
RF03533,Rfam,RF03533_bench.fasta,0.864987,0.051034,0.083979,0.807400,1.000000,0.970274,0.894942,0.787339,258
RF03534,Rfam,RF03534_bench.fasta,0.787775,0.132555,0.079670,0.540930,0.596792,0.930888,0.748441,0.701694,112
RF03535,Rfam,RF03535_bench.fasta,0.889344,0.094262,0.016393,0.749156,0.000000,0.941449,0.841667,0.819672,61
RF03536,Rfam,RF03536_bench.fasta,0.677549,0.226231,0.096220,0.177221,0.617881,0.818785,0.647569,0.561081,97
RF03537,Rfam,RF03537_bench.fasta,0.617391,0.308696,0.073913,-0.015759,0.825324,0.797742,0.633333,0.466667,46
RF03538,Rfam,RF03538_bench.fasta,0.893519,0.065972,0.040509,0.770226,0.914286,0.982840,0.865654,0.822421,108
RF03541,Rfam,RF03541_bench.fasta,0.649485,0.257732,0.092784,0.128757,0.757291,0.840126,0.677083,0.483800,97
RF03542,Rfam,RF03542_bench.fasta,0.602459,0.191940,0.205601,0.248205,0.675449,0.842945,0.606749,0.460755,122
RF03543,Rfam,RF03543_bench.fasta,0.772592,0.123138,0.104270,0.564701,0.572203,0.933465,0.705466,0.693038,53
RF03544,Rfam,RF03544_bench.fasta,0.680106,0.205836,0.114058,0.128569,0.664811,0.946263,0.697198,0.573513,65
RF03545,Rfam,RF03545_bench.fasta,0.455752,0.355642,0.188606,-0.248314,0.562067,0.545118,0.518973,0.310841,113
RF03546,Rfam,RF03546_bench.fasta,0.690184,0.220092,0.089724,0.270222,0.775414,0.850156,0.658179,0.549956,163
RF03547,Rfam,RF03547_bench.fasta,0.364321,0.280987,0.354692,-0.344943,0.609529,0.531264,0.606992,0.207380,119
RF03552,Rfam,RF03552_bench.fasta,0.871795,0.125000,0.003205,0.652002,0.000000,0.933720,0.811688,0.779915,78
RF03565,Rfam,RF03565_bench.fasta,0.977124,0.011438,0.011438,0.959133,0.000000,0.995416,0.957096,0.962745,102
RF03600,Rfam,RF03600_bench.fasta,0.828571,0.142857,0.028571,0.539640,0.833333,0.977942,0.766667,0.709890,91
RF03601,Rfam,RF03601_bench.fasta,0.822848,0.104305,0.072848,0.723234,1.000000,0.894276,0.803333,0.722958,151
RF03602,Rfam,RF03602_bench.fasta,0.854167,0.145833,0.000000,0.652206,0.000000,0.879389,0.796610,0.783333,60
RF03608,Rfam,RF03608_bench.fasta,0.963235,0.018382,0.018382,0.940347,0.788675,0.992925,0.951493,0.928922,68
RF03620,Rfam,RF03620_bench.fasta,0.971545,0.026423,0.002033,0.912095,0.000000,1.000000,0.948560,0.949593,82
RF03623,Rfam,RF03623_bench.fasta,0.988462,0.011538,0.000000,0.962556,0.000000,1.000000,0.976562,0.976923,65
RF03632,Rfam,RF03632_bench.fasta,0.958015,0.034351,0.007634,0.888392,1.000000,0.985713,0.925962,0.930207,131
RF03639,Rfam,RF03639_bench.fasta,0.967857,0.032143,0.000000,0.904586,0.000000,0.993119,0.942029,0.940476,70
RF03653,Rfam,RF03653_bench.fasta,0.715447,0.205285,0.079268,0.366319,0.953018,0.772795,0.672840,0.586992,82
RF03661,Rfam,RF03661_bench.fasta,0.980769,0.003205,0.016026,0.989599,0.000000,0.993968,0.967532,0.967949,78
RF03662,Rfam,RF03662_bench.fasta,0.866261,0.056231,0.077508,0.794406,1.000000,0.981452,0.909370,0.779635,94
RF03668,Rfam,RF03668_bench.fasta,0.753409,0.165909,0.080682,0.389990,0.943263,0.926727,0.710012,0.650682,80
RF03669,Rfam,RF03669_bench.fasta,0.811728,0.148148,0.040123,0.574124,0.830940,0.900456,0.737500,0.679012,81
RF03684,Rfam,RF03684_bench.fasta,0.730000,0.203333,0.066667,0.418790,1.000000,0.844590,0.692568,0.582222,75
RF03687,Rfam,RF03687_bench.fasta,0.812500,0.144886,0.042614,0.604639,0.859117,0.882810,0.712644,0.698864,88
RF03691,Rfam,RF03691_bench.fasta,0.768627,0.190196,0.041176,0.425335,1.000000,0.874588,0.732143,0.655686,85
RF03692,Rfam,RF03692_bench.fasta,0.687218,0.168421,0.144361,0.429965,0.847076,0.869755,0.715152,0.518797,133
RF03693,Rfam,RF03693_bench.fasta,0.684076,0.067516,0.248408,0.780820,0.979597,0.963429,0.885897,0.538217,157
RF03695,Rfam,RF03695_bench.fasta,0.926448,0.071987,0.001565,0.785264,0.000000,1.000000,0.890476,0.887324,71
RF03697,Rfam,RF03697_bench.fasta,0.973881,0.026119,0.000000,0.915240,0.000000,1.000000,0.962121,0.947761,67
RF03706,Rfam,RF03706_bench.fasta,0.890351,0.105263,0.004386,0.748595,0.000000,0.906443,0.866071,0.839181,57
RF03714,Rfam,RF03714_bench.fasta,0.856436,0.121287,0.022277,0.640870,1.000000,0.953689,0.792500,0.749175,101
RF03718,Rfam,RF03718_bench.fasta,0.955128,0.025641,0.019231,0.926345,1.000000,0.988665,0.974026,0.916667,78
RF03731,Rfam,RF03731_bench.fasta,0.790476,0.134921,0.074603,0.521962,0.461770,0.909904,0.675806,0.704409,63
RF03741,Rfam,RF03741_bench.fasta,0.940051,0.024235,0.035714,0.921092,0.971553,0.991396,0.945876,0.897595,98
RF03743,Rfam,RF03743_bench.fasta,0.901099,0.060440,0.038462,0.879121,1.000000,0.924868,0.872222,0.853480,91
RF03760,Rfam,RF03760_bench.fasta,0.948529,0.051471,0.000000,0.832972,0.000000,1.000000,0.906716,0.897059,68
RF03767,Rfam,RF03767_bench.fasta,0.835443,0.145570,0.018987,0.605650,1.000000,0.913813,0.839744,0.729958,79
RF03768,Rfam,RF03768_bench.fasta,0.941176,0.058824,0.000000,0.826613,0.000000,1.000000,0.890476,0.898824,85
RF03777,Rfam,RF03777_bench.fasta,0.655782,0.167347,0.176871,0.466530,0.902071,0.913655,0.731507,0.484354,147
RF03778,Rfam,RF03778_bench.fasta,0.837171,0.113487,0.049342,0.673922,0.906530,0.923120,0.801667,0.757519,76
RF03779,Rfam,RF03779_bench.fasta,0.900000,0.045238,0.054762,0.858096,1.000000,0.977271,0.918072,0.821429,84
RF03781,Rfam,RF03781_bench.fasta,0.883929,0.071429,0.044643,0.761836,1.000000,0.978377,0.921687,0.777778,84
RF03784,Rfam,RF03784_bench.fasta,0.907216,0.076289,0.016495,0.763159,0.922474,0.995142,0.881250,0.836082,97
RF03792,Rfam,RF03792_bench.fasta,0.900560,0.075630,0.023810,0.774334,1.000000,0.977604,0.851695,0.837535,119
RF03794,Rfam,RF03794_bench.fasta,0.841667,0.083333,0.075000,0.749482,0.902465,0.938328,0.831461,0.737037,90
RF03803,Rfam,RF03803_bench.fasta,0.761029,0.062500,0.176471,0.840181,0.894338,0.912784,0.876866,0.659314,68
RF03814,Rfam,RF03814_bench.fasta,0.772152,0.202532,0.025316,0.375935,0.000000,0.928620,0.633333,0.629114,79
RF03833,Rfam,RF03833_bench.fasta,0.858667,0.141333,0.000000,0.591894,0.000000,0.986887,0.740541,0.766667,75
RF03834,Rfam,RF03834_bench.fasta,0.942500,0.027500,0.030000,0.903296,1.000000,1.000000,0.941772,0.891250,80
RF03838,Rfam,RF03838_bench.fasta,0.979167,0.020833,0.000000,0.932393,0.000000,1.000000,0.957447,0.958333,48
RF03840,Rfam,RF03840_bench.fasta,0.970149,0.023881,0.005970,0.920858,0.000000,1.000000,0.948485,0.943284,67
RF03842,Rfam,RF03842_bench.fasta,0.991071,0.008929,0.000000,0.974731,0.000000,0.997247,0.982036,0.984127,168
RF03843,Rfam,RF03843_bench.fasta,0.941176,0.058824,0.000000,0.798795,0.000000,1.000000,0.938095,0.887059,85
RF03849,Rfam,RF03849_bench.fasta,0.824713,0.135057,0.040230,0.620802,1.000000,0.889935,0.822674,0.724138,87
RF03851,Rfam,RF03851_bench.fasta,0.817416,0.174157,0.008427,0.532835,1.000000,0.881348,0.803977,0.696629,89
RF03853,Rfam,RF03853_bench.fasta,0.741176,0.217647,0.041176,0.541955,1.000000,0.706075,0.720238,0.635294,85
RF03860,Rfam,RF03860_bench.fasta,0.705808,0.132155,0.162037,0.446856,0.905334,0.899260,0.743003,0.564864,132
RF03875,Rfam,RF03875_bench.fasta,0.876623,0.088745,0.034632,0.718560,1.000000,0.940984,0.804825,0.809524,77
RF03881,Rfam,RF03881_bench.fasta,0.882576,0.117424,0.000000,0.679107,0.000000,0.946483,0.892308,0.808081,66
RF03883,Rfam,RF03883_bench.fasta,0.902174,0.067029,0.030797,0.785841,1.000000,0.987041,0.898897,0.853520,69
RF03896,Rfam,RF03896_bench.fasta,0.614738,0.191984,0.193277,0.293847,0.837061,0.876925,0.688396,0.502586,119
RF03921,Rfam,RF03921_bench.fasta,0.915217,0.084783,0.000000,0.822314,0.000000,0.920633,0.859649,0.882609,115
RF03939,Rfam,RF03939_bench.fasta,0.757028,0.186747,0.056225,0.455014,0.616228,0.908200,0.678862,0.636948,83
RF03944,Rfam,RF03944_bench.fasta,0.972527,0.005495,0.021978,0.982187,0.959162,0.994843,0.983333,0.948718,91
RF03947,Rfam,RF03947_bench.fasta,0.930693,0.056931,0.012376,0.833745,0.000000,0.981455,0.890000,0.876238,101
RF03956,Rfam,RF03956_bench.fasta,0.888889,0.076190,0.034921,0.741643,1.000000,0.984927,0.890323,0.800000,63
RF03962,Rfam,RF03962_bench.fasta,0.951087,0.038043,0.010870,0.888915,0.000000,0.980501,0.917582,0.913043,92
RF03969,Rfam,RF03969_bench.fasta,0.972222,0.027778,0.000000,0.918505,0.000000,0.993303,0.950704,0.949074,72
RF03981,Rfam,RF03981_bench.fasta,0.876692,0.078195,0.045113,0.713488,0.558451,0.968304,0.794833,0.805013,95
RF03983,Rfam,RF03983_bench.fasta,0.933036,0.040179,0.026786,0.845912,0.864952,0.982753,0.900901,0.887117,112
RF03995,Rfam,RF03995_bench.fasta,0.919492,0.063559,0.016949,0.815110,1.000000,0.958050,0.866379,0.858757,59
RF03997,Rfam,RF03997_bench.fasta,0.985075,0.012793,0.002132,0.963582,0.000000,1.000000,0.971861,0.975835,67
RF04000,Rfam,RF04000_bench.fasta,0.987069,0.012931,0.000000,0.958037,0.000000,1.000000,0.973684,0.974138,58
RF04001,Rfam,RF04001_bench.fasta,0.925287,0.068966,0.005747,0.777285,0.000000,0.984067,0.874269,0.872414,58
RF04009,Rfam,RF04009_bench.fasta,0.959402,0.025641,0.014957,0.906796,1.000000,0.993968,0.935065,0.925641,78
RF04027,Rfam,RF04027_bench.fasta,0.792989,0.193783,0.013228,0.273849,0.921499,0.937985,0.705489,0.684251,84
RF04029,Rfam,RF04029_bench.fasta,0.970588,0.022549,0.006863,0.909492,1.000000,1.000000,0.953234,0.949020,68
RF04044,Rfam,RF04044_bench.fasta,0.895082,0.100000,0.004918,0.701785,0.000000,0.967987,0.820000,0.843716,61
RF04045,Rfam,RF04045_bench.fasta,0.839080,0.144828,0.016092,0.548792,0.000000,0.965154,0.734884,0.731034,87
RF04048,Rfam,RF04048_bench.fasta,0.917857,0.082143,0.000000,0.748321,0.000000,1.000000,0.861818,0.857143,56
RF04052,Rfam,RF04052_bench.fasta,0.969318,0.021591,0.009091,0.930580,1.000000,1.000000,0.953970,0.948636,80
RF04053,Rfam,RF04053_bench.fasta,0.758096,0.129874,0.112029,0.575894,0.765294,0.926657,0.703209,0.667027,89
RF04054,Rfam,RF04054_bench.fasta,0.643369,0.188172,0.168459,0.368068,0.879966,0.848726,0.682971,0.497491,93
RF04056,Rfam,RF04056_bench.fasta,0.857527,0.107527,0.034946,0.700558,1.000000,0.936796,0.782609,0.765233,93
RF04057,Rfam,RF04057_bench.fasta,0.876316,0.071053,0.052632,0.783823,1.000000,0.957694,0.848404,0.792982,95
RF04061,Rfam,RF04061_bench.fasta,0.757143,0.219048,0.023810,0.280460,1.000000,0.933806,0.629213,0.624868,90
RF04063,Rfam,RF04063_bench.fasta,0.714527,0.173986,0.111486,0.355632,0.858253,0.893134,0.741438,0.576737,74
RF04064,Rfam,RF04064_bench.fasta,0.974074,0.023457,0.002469,0.911832,0.000000,1.000000,0.952500,0.953909,81
RF04066,Rfam,RF04066_bench.fasta,0.894366,0.052817,0.052817,0.835864,1.000000,0.979589,0.875000,0.802817,71
RF04067,Rfam,RF04067_bench.fasta,0.842857,0.100000,0.057143,0.729821,1.000000,0.912433,0.927536,0.750000,70
RF04069,Rfam,RF04069_bench.fasta,0.772391,0.115825,0.111785,0.614076,0.891539,0.965150,0.750339,0.682424,135
RF04072,Rfam,RF04072_bench.fasta,0.727891,0.204082,0.068027,0.271900,0.492789,0.890891,0.668203,0.613640,63
RF04073,Rfam,RF04073_bench.fasta,0.848352,0.026374,0.125275,0.910599,1.000000,0.979807,0.940000,0.740659,91
RF04074,Rfam,RF04074_bench.fasta,0.915000,0.085000,0.000000,0.743963,0.000000,0.985563,0.865320,0.860667,100
RF04075,Rfam,RF04075_bench.fasta,0.872881,0.118644,0.008475,0.707710,0.000000,0.885058,0.801724,0.805085,59
RF04076,Rfam,RF04076_bench.fasta,0.881944,0.076389,0.041667,0.779549,0.852982,0.957860,0.830986,0.814815,72
RF04077,Rfam,RF04077_bench.fasta,0.848571,0.105714,0.045714,0.720912,1.000000,0.986836,0.823188,0.752857,70
RF04078,Rfam,RF04078_bench.fasta,0.887671,0.073973,0.038356,0.752545,0.889249,0.968666,0.847222,0.815068,73
RF04079,Rfam,RF04079_bench.fasta,0.813830,0.095745,0.090426,0.749165,0.954023,0.900540,0.805357,0.699764,141
RF04080,Rfam,RF04080_bench.fasta,0.901316,0.078947,0.019737,0.745077,1.000000,0.961887,0.860000,0.842105,76
RF04082,Rfam,RF04082_bench.fasta,0.701754,0.198246,0.100000,0.344519,0.979526,0.853876,0.664894,0.527018,95
RF04083,Rfam,RF04083_bench.fasta,0.729013,0.170839,0.100147,0.397499,0.807140,0.912056,0.715774,0.595974,97
RF04084,Rfam,RF04084_bench.fasta,0.944767,0.037791,0.017442,0.891843,1.000000,0.989824,0.917647,0.897287,86
RF04085,Rfam,RF04085_bench.fasta,0.825581,0.041145,0.133274,0.821190,0.978220,0.971196,0.884163,0.754919,86
RF04087,Rfam,RF04087_bench.fasta,0.857143,0.104849,0.038008,0.641154,0.953333,0.995733,0.801587,0.751857,109
RF04088,Rfam,RF04088_bench.fasta,0.714623,0.175386,0.109991,0.369322,0.837443,0.929266,0.720595,0.581863,212
RF04089,Rfam,RF04089_bench.fasta,0.911111,0.044444,0.044444,0.863248,0.903093,0.992516,0.887097,0.849206,63
RF04090,Rfam,RF04090_bench.fasta,0.903797,0.005063,0.091139,0.981723,1.000000,1.000000,0.979487,0.830380,79
RF04091,Rfam,RF04091_bench.fasta,0.536538,0.159615,0.303846,0.323176,0.911366,0.865804,0.812621,0.435897,104
RF04095,Rfam,RF04095_bench.fasta,0.985455,0.014545,0.000000,0.947496,0.000000,1.000000,0.970642,0.970909,110
RF04097,Rfam,RF04097_bench.fasta,0.927722,0.049981,0.022297,0.771315,0.786290,0.990150,0.892704,0.883399,234
RF04100,Rfam,RF04100_bench.fasta,0.932479,0.012821,0.054701,0.948732,0.904049,0.994728,0.942092,0.887037,90
RF04117,Rfam,RF04117_bench.fasta,0.836170,0.121277,0.042553,0.621666,1.000000,0.943379,0.778495,0.737234,94
RF04121,Rfam,RF04121_bench.fasta,0.710826,0.091168,0.198006,0.733651,0.919556,0.963129,0.870690,0.595442,117
RF04122,Rfam,RF04122_bench.fasta,0.955224,0.029851,0.014925,0.899936,1.000000,0.986673,0.931818,0.915423,67
RF04124,Rfam,RF04124_bench.fasta,0.870994,0.068910,0.060096,0.728071,0.988092,0.984719,0.872581,0.770375,156
RF04126,Rfam,RF04126_bench.fasta,0.871308,0.128692,0.000000,0.636226,0.000000,0.943505,0.794872,0.800000,79
RF04134,Rfam,RF04134_bench.fasta,0.792323,0.151575,0.056102,0.477348,0.806094,0.925723,0.775794,0.672947,127
RF04136,Rfam,RF04136_bench.fasta,0.826531,0.099490,0.073980,0.715928,0.925926,0.916886,0.791237,0.729592,98
RF04150,Rfam,RF04150_bench.fasta,0.747862,0.150207,0.101931,0.479646,0.896078,0.931258,0.762353,0.638701,290
RF04151,Rfam,RF04151_bench.fasta,0.798165,0.144495,0.057339,0.578536,1.000000,0.898827,0.777778,0.645260,109
RF04152,Rfam,RF04152_bench.fasta,0.877778,0.033333,0.088889,0.886217,1.000000,0.990288,0.923596,0.777778,90
RF04154,Rfam,RF04154_bench.fasta,0.952381,0.010989,0.036630,0.957844,1.000000,1.000000,0.975881,0.906593,78
RF04156,Rfam,RF04156_bench.fasta,0.824334,0.139440,0.036227,0.614456,0.802027,0.954061,0.756181,0.745728,209
RF04158,Rfam,RF04158_bench.fasta,0.911589,0.028674,0.059737,0.889401,0.962668,1.000000,0.938406,0.841697,93
RF04163,Rfam,RF04163_bench.fasta,0.820913,0.126202,0.052885,0.551737,0.905409,0.961474,0.757021,0.736579,64
RF04164,Rfam,RF04164_bench.fasta,0.828704,0.126157,0.045139,0.537055,0.925926,0.948978,0.789720,0.725198,108
RF04165,Rfam,RF04165_bench.fasta,0.970000,0.020000,0.010000,0.934630,1.000000,1.000000,0.954430,0.943750,80
RF04169,Rfam,RF04169_bench.fasta,0.821036,0.017268,0.161695,0.921239,0.965713,0.968949,0.944444,0.708006,91
RF04171,Rfam,RF04171_bench.fasta,0.714286,0.207341,0.078373,0.345698,0.888796,0.876847,0.703000,0.578798,126
RF04175,Rfam,RF04175_bench.fasta,0.932099,0.026235,0.041667,0.900063,1.000000,0.995653,0.948598,0.872222,108
RF04179,Rfam,RF04179_bench.fasta,0.847701,0.096743,0.055556,0.667150,0.532759,0.968077,0.788406,0.764847,116
RF04180,Rfam,RF04180_bench.fasta,0.672489,0.054897,0.272614,0.772908,0.806847,0.927744,0.867168,0.578499,229
RF04181,Rfam,RF04181_bench.fasta,0.791860,0.122093,0.086047,0.610477,0.857143,0.944886,0.751765,0.706460,86
RF04182,Rfam,RF04182_bench.fasta,0.745797,0.157412,0.096791,0.511988,0.646629,0.943078,0.714359,0.642129,151
RF04183,Rfam,RF04183_bench.fasta,0.840781,0.134359,0.024859,0.503734,0.439775,0.967215,0.794205,0.771944,109
RF04184,Rfam,RF04184_bench.fasta,0.952492,0.044393,0.003115,0.864551,0.000000,0.997845,0.946009,0.920249,214
RF04188,Rfam,RF04188_bench.fasta,0.671162,0.153580,0.175258,0.330043,0.780206,0.916403,0.683228,0.548285,194
RF04189,Rfam,RF04189_bench.fasta,0.697403,0.155844,0.146753,0.473235,0.654726,0.912271,0.710675,0.592579,154
RF04190,Rfam,RF04190_bench.fasta,0.138989,0.102044,0.758966,0.120623,0.868734,0.740717,0.884753,0.088443,474
RF04191,Rfam,RF04191_bench.fasta,0.664962,0.122664,0.212374,0.549680,0.932416,0.933609,0.767097,0.591291,330
RF04192,Rfam,RF04192_bench.fasta,0.776802,0.089777,0.133421,0.595323,0.799001,0.920696,0.780645,0.694542,218
RF04193,Rfam,RF04193_bench.fasta,0.895238,0.082540,0.022222,0.750080,0.625000,0.977421,0.835484,0.828571,63
RF04194,Rfam,RF04194_bench.fasta,0.768627,0.166667,0.064706,0.472688,0.940171,0.912527,0.761905,0.640784,85
RF04204,Rfam,RF04204_bench.fasta,0.707143,0.150000,0.142857,0.499381,0.907618,0.893745,0.744578,0.554762,84
RF04205,Rfam,RF04205_bench.fasta,0.732432,0.144595,0.122973,0.569378,1.000000,0.866953,0.779891,0.559459,185
RF04211,Rfam,RF04211_bench.fasta,0.916840,0.058905,0.024255,0.730344,0.855337,0.995804,0.906993,0.853892,111
RF04214,Rfam,RF04214_bench.fasta,0.799038,0.081731,0.119231,0.743663,0.983937,0.962627,0.850775,0.688462,130
RF04216,Rfam,RF04216_bench.fasta,0.814882,0.116152,0.068966,0.570336,0.771140,0.961943,0.768360,0.744592,87
RF04217,Rfam,RF04217_bench.fasta,0.789141,0.164141,0.046717,0.492400,0.883888,0.958795,0.723431,0.694949,72
RF04218,Rfam,RF04218_bench.fasta,0.821429,0.157738,0.020833,0.408087,0.000000,0.958366,0.743541,0.752083,48
RF04219,Rfam,RF04219_bench.fasta,0.850377,0.149623,0.000000,0.516020,0.000000,0.954419,0.744213,0.800437,113
RF04220,Rfam,RF04220_bench.fasta,0.899335,0.100665,0.000000,0.631362,0.000000,0.971173,0.829327,0.854477,81
RF04221,Rfam,RF04221_bench.fasta,0.928066,0.071934,0.000000,0.726701,0.000000,0.987995,0.875328,0.892725,80
RF04222,Rfam,RF04222_bench.fasta,0.398014,0.189922,0.412064,0.271608,0.790388,0.643959,0.701102,0.321971,96
RF04224,Rfam,RF04224_bench.fasta,0.936090,0.058271,0.005639,0.797206,0.000000,1.000000,0.887619,0.887845,76
RF04225,Rfam,RF04225_bench.fasta,0.706081,0.201577,0.092342,0.328981,0.915126,0.867893,0.683673,0.549099,148
RF04226,Rfam,RF04226_bench.fasta,0.847869,0.130625,0.021505,0.543252,0.000000,0.994255,0.753226,0.778760,81
RF04227,Rfam,RF04227_bench.fasta,0.927059,0.054118,0.018824,0.827767,1.000000,1.000000,0.890476,0.864706,85
RF04228,Rfam,RF04228_bench.fasta,0.791176,0.097059,0.111765,0.702004,0.978142,0.929091,0.826923,0.621569,170
RF04229,Rfam,RF04229_bench.fasta,0.915541,0.084459,0.000000,0.778053,0.000000,0.954320,0.859589,0.860360,74
RF04234,Rfam,RF04234_bench.fasta,0.695042,0.150285,0.154673,0.379619,0.853922,0.922914,0.682353,0.596863,86
RF04235,Rfam,RF04235_bench.fasta,0.677376,0.278447,0.044177,0.107523,0.738467,0.894797,0.651762,0.550201,83
RF04236,Rfam,RF04236_bench.fasta,0.823529,0.135294,0.041176,0.651799,1.000000,1.000000,0.820896,0.717647,68
RF04244,Rfam,RF04244_bench.fasta,0.699115,0.129425,0.171460,0.574833,0.844481,0.851301,0.731027,0.571113,113
RF04247,Rfam,RF04247_bench.fasta,0.374100,0.179125,0.446775,0.041347,0.588442,0.719123,0.693708,0.257165,129
RF04248,Rfam,RF04248_bench.fasta,0.762797,0.203496,0.033708,0.324621,0.969222,0.980341,0.739899,0.634831,89
RF04249,Rfam,RF04249_bench.fasta,0.649068,0.225155,0.125776,0.220781,0.686568,0.935823,0.666841,0.544749,84
RF04250,Rfam,RF04250_bench.fasta,0.770833,0.147436,0.081731,0.487527,0.831068,0.896598,0.792208,0.662088,78
RF04254,Rfam,RF04254_bench.fasta,0.794737,0.194737,0.010526,0.459902,0.000000,0.965677,0.680000,0.676316,76
RF04261,Rfam,RF04261_bench.fasta,0.865035,0.056643,0.078322,0.796337,0.982541,0.995727,0.890614,0.771911,110
RF04263,Rfam,RF04263_bench.fasta,0.787546,0.136752,0.075702,0.537236,0.919080,0.952409,0.767241,0.656492,117
RF04266,Rfam,RF04266_bench.fasta,0.955357,0.035714,0.008929,0.893775,1.000000,0.992502,0.947846,0.926339,64
RF04267,Rfam,RF04267_bench.fasta,0.958242,0.034066,0.007692,0.892878,0.890868,1.000000,0.947545,0.934911,65
RF04268,Rfam,RF04268_bench.fasta,0.888235,0.101961,0.009804,0.708870,0.000000,0.970923,0.811508,0.823529,85
RF04269,Rfam,RF04269_bench.fasta,0.971014,0.028986,0.000000,0.905939,0.000000,1.000000,0.941176,0.942029,69
RF04270,Rfam,RF04270_bench.fasta,0.766061,0.215758,0.018182,0.319028,1.000000,0.947761,0.690418,0.655030,75
RF04271,Rfam,RF04271_bench.fasta,0.951471,0.014706,0.033824,0.938731,0.957329,0.994505,0.947917,0.914286,85
RF04272,Rfam,RF04272_bench.fasta,0.768315,0.173077,0.058608,0.293610,0.703597,0.956184,0.693827,0.663475,91
RF04274,Rfam,RF04274_bench.fasta,0.803841,0.094650,0.101509,0.671899,0.875485,0.954468,0.805556,0.706104,81
RF04275,Rfam,RF04275_bench.fasta,0.761641,0.212860,0.025499,0.294852,0.520526,0.952957,0.682379,0.645898,82
RF04276,Rfam,RF04276_bench.fasta,0.682584,0.141854,0.175562,0.584853,0.951227,0.822218,0.764124,0.508427,178
RF04280,Rfam,RF04280_bench.fasta,0.812693,0.142415,0.044892,0.488667,0.896039,0.973640,0.773333,0.714396,76
RF04282,Rfam,RF04282_bench.fasta,0.790476,0.181429,0.028095,0.443101,0.613405,0.959607,0.704578,0.719881,84
RF04284,Rfam,RF04284_bench.fasta,0.936000,0.028444,0.035556,0.892719,1.000000,0.993651,0.937838,0.893079,75
RF04285,Rfam,RF04285_bench.fasta,0.920253,0.020253,0.059494,0.933261,0.916667,0.978873,0.947436,0.881294,79
RF04286,Rfam,RF04286_bench.fasta,0.915331,0.072474,0.012195,0.714756,0.198030,0.994244,0.847972,0.868580,82
RF04288,Rfam,RF04288_bench.fasta,0.905622,0.054217,0.040161,0.815371,0.808852,0.967770,0.894309,0.842570,83
RF04290,Rfam,RF04290_bench.fasta,0.977513,0.018519,0.003968,0.940133,0.000000,1.000000,0.963855,0.962632,84
RF04291,Rfam,RF04291_bench.fasta,0.848269,0.088668,0.063063,0.682863,0.898963,0.980714,0.795963,0.779567,74
RF04292,Rfam,RF04292_bench.fasta,0.797015,0.154726,0.048259,0.463045,0.707296,0.960172,0.722727,0.709756,67
RF04293,Rfam,RF04293_bench.fasta,0.983725,0.012658,0.003617,0.955680,0.000000,1.000000,0.970696,0.969861,79
RF04294,Rfam,RF04294_bench.fasta,0.832317,0.158537,0.009146,0.554429,1.000000,0.907768,0.780864,0.713415,82
RF04295,Rfam,RF04295_bench.fasta,0.782609,0.153745,0.063646,0.542264,0.889804,0.950973,0.692736,0.711553,83
RF04296,Rfam,RF04296_bench.fasta,0.973656,0.010537,0.015806,0.961547,0.973084,1.000000,0.975427,0.951704,73
RF04297,Rfam,RF04297_bench.fasta,0.873264,0.102431,0.024306,0.660881,0.000000,0.970699,0.825397,0.806858,64
RF04300,Rfam,RF04300_bench.fasta,0.790000,0.156667,0.053333,0.541307,0.961577,0.893654,0.756757,0.640000,75
RF04302,Rfam,RF04302_bench.fasta,0.906098,0.079268,0.014634,0.717592,0.833333,0.994244,0.845679,0.846612,82
RF04303,Rfam,RF04303_bench.fasta,0.716981,0.122013,0.161006,0.622480,0.906186,0.898617,0.801266,0.598742,159
RF04305,Rfam,RF04305_bench.fasta,0.750000,0.250000,0.000000,0.164284,0.000000,0.903769,0.689210,0.661553,48
RF04306,Rfam,RF04306_bench.fasta,0.847291,0.152709,0.000000,0.456739,0.000000,0.973949,0.752506,0.780475,58
RF04307,Rfam,RF04307_bench.fasta,0.822464,0.177536,0.000000,0.391352,0.000000,0.941505,0.730769,0.756297,92
RF04308,Rfam,RF04308_bench.fasta,0.755168,0.231382,0.013450,0.247323,0.000000,0.893451,0.586869,0.684101,73
RF04309,Rfam,RF04309_bench.fasta,0.775641,0.224359,0.000000,0.260002,0.000000,0.896301,0.655580,0.702277,123
RF04310,Rfam,RF04310_bench.fasta,0.691830,0.159150,0.149020,0.411521,0.784361,0.886792,0.695895,0.599627,204
RF00001,MAFFT,RF00001_mafft.fasta,0.251826,0.119452,0.628722,0.272885,0.707357,0.651067,0.728499,0.197183,314
